Timestamp;Type;ID;Latitude;Longitude;Speed;Heading;Braking;Extra
1780565655774;CAM;10748160;64.9273851;-101.9143484;268.488;5559.5;true;none
1780565658073;CAM;11337984;64.9273851;-101.9141486;268.488;5712.3;true;none
1780565660875;CAM;11862272;64.9273851;-101.9138484;268.488;5886.6;true;none
1780565663075;CAM;11862272;64.9273851;-101.9136484;268.488;5960.3;true;none
1780565663880;CAM;11862272;64.9273851;-101.9135484;268.488;5990.8;true;none
1780565664773;CAM;12452096;64.9273851;-101.9134485;268.488;6020.700000000001;true;none
1780565665274;CAM;11862272;64.9273851;-101.9134485;268.488;6020.700000000001;true;none
1780565668573;CAM;11862272;64.9273851;-101.9130485;268.488;6107.1;true;none
1780565670476;CAM;11862272;64.9273851;-101.9128484;268.488;6125.0;true;none
1780565674879;CAM;11862272;64.9273851;-101.9124484;268.488;6126.900000000001;true;none
1780565677475;CAM;11862272;64.9273851;-101.9121485;268.488;6126.1;true;none
1780565678077;CAM;12452096;64.9273851;-101.9121485;268.488;6126.1;true;none
1780565689374;CAM;10748160;64.9273851;-101.9109484;268.488;5355.5;true;none
